id,category_id,division_id,product_cost,product_discount,product_id,product_name,product_price,product_sale_price,product_units
1,10,110,70,10%,10,"Lululemon Align Leggings",100,90,115
2,20,110,80,17%,20,"Lululemon Define Jacket",120,100,105
3,9,109,600,6%,9,"Canon EOS Rebel T7i",800,750,75
4,19,109,800,5%,19,"Nikon D7500 DSLR Camera",1000,950,70
5,1,101,800,5%,1,"Apple iPhone 13",1000,950,100
6,2,102,900,8%,2,"Samsung 4K Smart TV",1200,1100,120
7,4,104,400,10%,4,"Sony PlayStation 5",500,450,80
8,5,105,1600,5%,5,"Apple MacBook Pro",2000,1900,110
9,6,106,200,17%,6,"Sony Noise Cancelling Headphones",300,250,95
10,8,108,30,20%,8,"Amazon Echo Dot (4th Gen)",50,40,85
11,12,101,300,8%,12,"Apple Watch Series 7",400,350,100
12,13,102,450,9%,13,"Samsung Galaxy Tab S7",600,550,70
13,15,106,180,12%,15,"Bose QuietComfort Earbuds",250,220,80
14,18,108,100,8%,18,"Amazon Kindle Paperwhite",130,120,95
15,22,101,100,13%,22,"Fitbit Charge 5 Fitness Tracker",150,130,85
16,23,102,700,5%,23,"Google Pixel 6 Pro",900,850,75
17,25,106,80,17%,25,"Bose SoundLink Color Bluetooth Speaker",120,100,95
18,27,101,180,12%,27,"Apple AirPods Pro",250,220,80
19,28,102,1100,10%,28,"Samsung QLED 4K TV",1500,1350,65
20,30,106,220,17%,30,"Sony WH-1000XM4 Wireless Headphones",300,250,75
21,3,103,100,13%,3,"Nike Air Zoom Pegasus",150,130,90
22,7,107,120,10%,7,"Adidas Ultraboost Shoes",180,150,105
23,14,103,150,10%,14,"Nike Air Jordan 1 Retro",200,180,120
24,17,107,60,11%,17,"Adidas Originals Superstar Shoes",90,80,110
25,24,107,40,17%,24,"Converse Chuck Taylor All Star",60,50,115
26,29,107,100,14%,29,"New Balance Fresh Foam 1080v11",140,120,100
27,16,112,600,6%,16,"Lego Star Wars Millennium Falcon",800,750,60
28,11,111,50,12%,11,"PlayStation 5 Games Bundle",80,70,95
29,21,111,400,10%,21,"Microsoft Xbox Series X",500,450,90
30,26,111,40,17%,26,"FIFA 22 - PlayStation 5",60,50,90
